transaction_id,document_id,posting_date,account_code,cost_centre_code,product_code,entity_code,region_code,local_currency,local_amount,fx_rate_to_gbp,reporting_currency,reporting_amount_gbp,source_system,journal_type,description,load_date
TXN-0000001,DOC-20250101-001,2025-01-01,6100,CC210,P000,ENT03,REG03,EUR,5862.12,0.8389,GBP,4917.73,ERP,Expense Journal,Synthetic Expense Journal - GL Account 6100,2026-09-24
TXN-0000002,DOC-20250101-002,2025-01-01,6120,CC210,P000,ENT01,REG01,GBP,7251.65,1.0,GBP,7251.65,ERP,Expense Journal,Synthetic Expense Journal - GL Account 6120,2026-09-24
TXN-0000003,DOC-20250101-003,2025-01-01,4110,CC210,P002,ENT03,REG02,EUR,13258.22,0.8389,GBP,11122.32,ERP,Revenue Journal,Synthetic Revenue Journal - GL Account 4110,2026-09-24
TXN-0000004,DOC-20250101-004,2025-01-01,5200,CC410,P003,ENT01,REG01,GBP,4485.16,1.0,GBP,4485.16,ERP,AP Invoice,Synthetic AP Invoice - GL Account 5200,2026-09-24
TXN-0000005,DOC-20250101-005,2025-01-01,6650,CC140,P000,ENT01,REG04,GBP,13372.07,1.0,GBP,13372.07,ERP,Payroll Journal,Synthetic Payroll Journal - GL Account 6650,2026-09-24
TXN-0000006,DOC-20250101-006,2025-01-01,4120,CC210,P003,ENT02,REG02,EUR,31311.94,0.8389,GBP,26267.59,ERP,Revenue Journal,Synthetic Revenue Journal - GL Account 4120,2026-09-24
TXN-0000007,DOC-20250101-007,2025-01-01,6300,CC310,P003,ENT01,REG01,GBP,6587.59,1.0,GBP,6587.59,ERP,AP Invoice,Synthetic AP Invoice - GL Account 6300,2026-09-24
TXN-0000008,DOC-20250101-008,2025-01-01,6710,CC130,P000,ENT01,REG01,GBP,10844.31,1.0,GBP,10844.31,ERP,Expense Journal,Synthetic Expense Journal - GL Account 6710,2026-09-24
TXN-0000009,DOC-20250101-009,2025-01-01,6660,CC120,P000,ENT01,REG01,GBP,9397.08,1.0,GBP,9397.08,ERP,Expense Journal,Synthetic Expense Journal - GL Account 6660,2026-09-24
TXN-0000010,DOC-20250101-010,2025-01-01,5200,CC410,P003,ENT02,REG02,EUR,5260.08,0.8389,GBP,4412.68,ERP,AP Invoice,Synthetic AP Invoice - GL Account 5200,2026-09-24
TXN-0000011,DOC-20250101-011,2025-01-01,6600,CC120,P000,ENT03,REG03,EUR,5669.89,0.8389,GBP,4756.47,ERP,AP Invoice,Synthetic AP Invoice - GL Account 6600,2026-09-24
