budget_id,budget_month,account_code,cost_centre_code,product_code,entity_code,region_code,budget_version,budget_currency,budget_amount,source_system,load_date
BUD26-000001,2026-01-01,4900,CC110,P000,ENT01,REG01,FY26 Approved,GBP,48048.00,Planning System,2026-09-18
BUD26-000002,2026-01-01,4900,CC110,P000,ENT01,REG02,FY26 Approved,GBP,8236.80,Planning System,2026-09-18
BUD26-000003,2026-01-01,4900,CC110,P000,ENT01,REG03,FY26 Approved,GBP,6864.00,Planning System,2026-09-18
BUD26-000004,2026-01-01,4900,CC110,P000,ENT01,REG04,FY26 Approved,GBP,5491.20,Planning System,2026-09-18
BUD26-000005,2026-01-01,4900,CC110,P000,ENT02,REG01,FY26 Approved,GBP,2246.40,Planning System,2026-09-18
BUD26-000006,2026-01-01,4900,CC110,P000,ENT02,REG02,FY26 Approved,GBP,16174.08,Planning System,2026-09-18
BUD26-000007,2026-01-01,4900,CC110,P000,ENT02,REG03,FY26 Approved,GBP,2246.40,Planning System,2026-09-18
BUD26-000008,2026-01-01,4900,CC110,P000,ENT02,REG04,FY26 Approved,GBP,1797.12,Planning System,2026-09-18
BUD26-000009,2026-01-01,4900,CC110,P000,ENT03,REG01,FY26 Approved,GBP,1497.60,Planning System,2026-09-18
BUD26-000010,2026-01-01,4900,CC110,P000,ENT03,REG02,FY26 Approved,GBP,1872.00,Planning System,2026-09-18
BUD26-000011,2026-01-01,4900,CC110,P000,ENT03,REG03,FY26 Approved,GBP,13852.80,Planning System,2026-09-18
BUD26-000012,2026-01-01,4900,CC110,P000,ENT03,REG04,FY26 Approved,GBP,1497.60,Planning System,2026-09-18
BUD26-000013,2026-01-01,4900,CC110,P000,ENT04,REG01,FY26 Approved,GBP,1198.08,Planning System,2026-09-18
BUD26-000014,2026-01-01,4900,CC110,P000,ENT04,REG02,FY26 Approved,GBP,1497.60,Planning System,2026-09-18
BUD26-000015,2026-01-01,4900,CC110,P000,ENT04,REG03,FY26 Approved,GBP,1797.12,Planning System,2026-09-18
BUD26-000016,2026-01-01,4900,CC110,P000,ENT04,REG04,FY26 Approved,GBP,10483.20,Planning System,2026-09-18
BUD26-000017,2026-01-01,4100,CC210,P001,ENT01,REG01,FY26 Approved,GBP,691891.20,Planning System,2026-09-18
BUD26-000018,2026-01-01,4100,CC210,P001,ENT01,REG02,FY26 Approved,GBP,118609.92,Planning System,2026-09-18
BUD26-000019,2026-01-01,4100,CC210,P001,ENT01,REG03,FY26 Approved,GBP,98841.60,Planning System,2026-09-18
BUD26-000020,2026-01-01,4100,CC210,P001,ENT01,REG04,FY26 Approved,GBP,79073.28,Planning System,2026-09-18
BUD26-000021,2026-01-01,4100,CC210,P001,ENT02,REG01,FY26 Approved,GBP,32348.16,Planning System,2026-09-18
BUD26-000022,2026-01-01,4100,CC210,P001,ENT02,REG02,FY26 Approved,GBP,232906.75,Planning System,2026-09-18
BUD26-000023,2026-01-01,4100,CC210,P001,ENT02,REG03,FY26 Approved,GBP,32348.16,Planning System,2026-09-18
BUD26-000024,2026-01-01,4100,CC210,P001,ENT02,REG04,FY26 Approved,GBP,25878.53,Planning System,2026-09-18
BUD26-000025,2026-01-01,4100,CC210,P001,ENT03,REG01,FY26 Approved,GBP,21565.44,Planning System,2026-09-18
BUD26-000026,2026-01-01,4100,CC210,P001,ENT03,REG02,FY26 Approved,GBP,26956.80,Planning System,2026-09-18
BUD26-000027,2026-01-01,4100,CC210,P001,ENT03,REG03,FY26 Approved,GBP,199480.32,Planning System,2026-09-18
BUD26-000028,2026-01-01,4100,CC210,P001,ENT03,REG04,FY26 Approved,GBP,21565.44,Planning System,2026-09-18
BUD26-000029,2026-01-01,4100,CC210,P001,ENT04,REG01,FY26 Approved,GBP,17252.35,Planning System,2026-09-18
BUD26-000030,2026-01-01,4100,CC210,P001,ENT04,REG02,FY26 Approved,GBP,21565.44,Planning System,2026-09-18
BUD26-000031,2026-01-01,4100,CC210,P001,ENT04,REG03,FY26 Approved,GBP,25878.53,Planning System,2026-09-18
BUD26-000032,2026-01-01,4100,CC210,P001,ENT04,REG04,FY26 Approved,GBP,150958.08,Planning System,2026-09-18
BUD26-000033,2026-01-01,4100,CC220,P001,ENT01,REG01,FY26 Approved,GBP,461260.80,Planning System,2026-09-18
BUD26-000034,2026-01-01,4100,CC220,P001,ENT01,REG02,FY26 Approved,GBP,79073.28,Planning System,2026-09-18
BUD26-000035,2026-01-01,4100,CC220,P001,ENT01,REG03,FY26 Approved,GBP,65894.40,Planning System,2026-09-18
